recom,recomH1,cell,homologousAutoRecom,transposonEffect,genotoxic
0.1,switch,haploid,TRUE,TRUE,0
0.1,homeostatic,haploid,TRUE,TRUE,0
0.01,switch,haploid,TRUE,TRUE,0
0.01,homeostatic,haploid,TRUE,TRUE,0
0.001,switch,haploid,TRUE,TRUE,0
0.001,homeostatic,haploid,TRUE,TRUE,0
1e-04,switch,haploid,TRUE,TRUE,0
1e-04,homeostatic,haploid,TRUE,TRUE,0
0,switch,haploid,TRUE,TRUE,0
0,homeostatic,haploid,TRUE,TRUE,0
0.1,switch,diploid,TRUE,TRUE,0
0.1,homeostatic,diploid,TRUE,TRUE,0
0.01,switch,diploid,TRUE,TRUE,0
0.01,homeostatic,diploid,TRUE,TRUE,0
0.001,switch,diploid,TRUE,TRUE,0
0.001,homeostatic,diploid,TRUE,TRUE,0
1e-04,switch,diploid,TRUE,TRUE,0
1e-04,homeostatic,diploid,TRUE,TRUE,0
0,switch,diploid,TRUE,TRUE,0
0,homeostatic,diploid,TRUE,TRUE,0
0.1,switch,haploid,FALSE,TRUE,0
0.1,homeostatic,haploid,FALSE,TRUE,0
0.01,switch,haploid,FALSE,TRUE,0
0.01,homeostatic,haploid,FALSE,TRUE,0
0.001,switch,haploid,FALSE,TRUE,0
0.001,homeostatic,haploid,FALSE,TRUE,0
1e-04,switch,haploid,FALSE,TRUE,0
1e-04,homeostatic,haploid,FALSE,TRUE,0
0,switch,haploid,FALSE,TRUE,0
0,homeostatic,haploid,FALSE,TRUE,0
0.1,switch,diploid,FALSE,TRUE,0
0.1,homeostatic,diploid,FALSE,TRUE,0
0.01,switch,diploid,FALSE,TRUE,0
0.01,homeostatic,diploid,FALSE,TRUE,0
0.001,switch,diploid,FALSE,TRUE,0
0.001,homeostatic,diploid,FALSE,TRUE,0
1e-04,switch,diploid,FALSE,TRUE,0
1e-04,homeostatic,diploid,FALSE,TRUE,0
0,switch,diploid,FALSE,TRUE,0
0,homeostatic,diploid,FALSE,TRUE,0
0.1,switch,haploid,TRUE,FALSE,0
0.1,homeostatic,haploid,TRUE,FALSE,0
0.01,switch,haploid,TRUE,FALSE,0
0.01,homeostatic,haploid,TRUE,FALSE,0
0.001,switch,haploid,TRUE,FALSE,0
0.001,homeostatic,haploid,TRUE,FALSE,0
1e-04,switch,haploid,TRUE,FALSE,0
1e-04,homeostatic,haploid,TRUE,FALSE,0
0,switch,haploid,TRUE,FALSE,0
0,homeostatic,haploid,TRUE,FALSE,0
0.1,switch,diploid,TRUE,FALSE,0
0.1,homeostatic,diploid,TRUE,FALSE,0
0.01,switch,diploid,TRUE,FALSE,0
0.01,homeostatic,diploid,TRUE,FALSE,0
0.001,switch,diploid,TRUE,FALSE,0
0.001,homeostatic,diploid,TRUE,FALSE,0
1e-04,switch,diploid,TRUE,FALSE,0
1e-04,homeostatic,diploid,TRUE,FALSE,0
0,switch,diploid,TRUE,FALSE,0
0,homeostatic,diploid,TRUE,FALSE,0
0.1,switch,haploid,FALSE,FALSE,0
0.1,homeostatic,haploid,FALSE,FALSE,0
0.01,switch,haploid,FALSE,FALSE,0
0.01,homeostatic,haploid,FALSE,FALSE,0
0.001,switch,haploid,FALSE,FALSE,0
0.001,homeostatic,haploid,FALSE,FALSE,0
1e-04,switch,haploid,FALSE,FALSE,0
1e-04,homeostatic,haploid,FALSE,FALSE,0
0,switch,haploid,FALSE,FALSE,0
0,homeostatic,haploid,FALSE,FALSE,0
0.1,switch,diploid,FALSE,FALSE,0
0.1,homeostatic,diploid,FALSE,FALSE,0
0.01,switch,diploid,FALSE,FALSE,0
0.01,homeostatic,diploid,FALSE,FALSE,0
0.001,switch,diploid,FALSE,FALSE,0
0.001,homeostatic,diploid,FALSE,FALSE,0
1e-04,switch,diploid,FALSE,FALSE,0
1e-04,homeostatic,diploid,FALSE,FALSE,0
0,switch,diploid,FALSE,FALSE,0
0,homeostatic,diploid,FALSE,FALSE,0
0.1,switch,haploid,TRUE,TRUE,1
0.1,homeostatic,haploid,TRUE,TRUE,1
0.01,switch,haploid,TRUE,TRUE,1
0.01,homeostatic,haploid,TRUE,TRUE,1
0.001,switch,haploid,TRUE,TRUE,1
0.001,homeostatic,haploid,TRUE,TRUE,1
1e-04,switch,haploid,TRUE,TRUE,1
1e-04,homeostatic,haploid,TRUE,TRUE,1
0,switch,haploid,TRUE,TRUE,1
0,homeostatic,haploid,TRUE,TRUE,1
0.1,switch,diploid,TRUE,TRUE,1
