gene,location,generation,valid,uniqID,size,jumpRate,jumpH1,copyRate,copyH1,copyDir
,0,0,TRUE,NEGX,500,0.1,fixed,0.1,fixed,both
,0,0,TRUE,ASSN,1000,0.1,fixed,0.1,fixed,both
,0,0,TRUE,XNDX,1500,0.1,fixed,0.1,fixed,both
,0,0,TRUE,TFOJ,2000,0.1,fixed,0.1,fixed,both
,0,0,TRUE,TOWR,500,0.01,fixed,0.1,fixed,both
,0,0,TRUE,QNMH,1000,0.01,fixed,0.1,fixed,both
,0,0,TRUE,WLPW,1500,0.01,fixed,0.1,fixed,both
,0,0,TRUE,XFRR,2000,0.01,fixed,0.1,fixed,both
,0,0,TRUE,HTKW,500,0.001,fixed,0.1,fixed,both
,0,0,TRUE,AIKP,1000,0.001,fixed,0.1,fixed,both
,0,0,TRUE,CCYT,1500,0.001,fixed,0.1,fixed,both
,0,0,TRUE,JHYV,2000,0.001,fixed,0.1,fixed,both
,0,0,TRUE,KKBU,500,1e-04,fixed,0.1,fixed,both
,0,0,TRUE,BJIP,1000,1e-04,fixed,0.1,fixed,both
,0,0,TRUE,FPGQ,1500,1e-04,fixed,0.1,fixed,both
,0,0,TRUE,GGCE,2000,1e-04,fixed,0.1,fixed,both
,0,0,TRUE,UKRA,500,0,fixed,0.1,fixed,both
,0,0,TRUE,RHRD,1000,0,fixed,0.1,fixed,both
,0,0,TRUE,OYAX,1500,0,fixed,0.1,fixed,both
,0,0,TRUE,NBMY,2000,0,fixed,0.1,fixed,both
,0,0,TRUE,XYYL,500,0.1,charlesworth,0.1,fixed,both
,0,0,TRUE,MTBU,1000,0.1,charlesworth,0.1,fixed,both
,0,0,TRUE,JWWR,1500,0.1,charlesworth,0.1,fixed,both
,0,0,TRUE,TCPJ,2000,0.1,charlesworth,0.1,fixed,both
,0,0,TRUE,FRWA,500,0.01,charlesworth,0.1,fixed,both
,0,0,TRUE,NNBG,1000,0.01,charlesworth,0.1,fixed,both
,0,0,TRUE,FBLQ,1500,0.01,charlesworth,0.1,fixed,both
,0,0,TRUE,QKFL,2000,0.01,charlesworth,0.1,fixed,both
,0,0,TRUE,SYIA,500,0.001,charlesworth,0.1,fixed,both
,0,0,TRUE,KFYF,1000,0.001,charlesworth,0.1,fixed,both
,0,0,TRUE,PAID,1500,0.001,charlesworth,0.1,fixed,both
,0,0,TRUE,FURE,2000,0.001,charlesworth,0.1,fixed,both
,0,0,TRUE,ODQW,500,1e-04,charlesworth,0.1,fixed,both
,0,0,TRUE,SDRZ,1000,1e-04,charlesworth,0.1,fixed,both
,0,0,TRUE,RQVJ,1500,1e-04,charlesworth,0.1,fixed,both
,0,0,TRUE,VBPZ,2000,1e-04,charlesworth,0.1,fixed,both
,0,0,TRUE,RUUX,500,0,charlesworth,0.1,fixed,both
,0,0,TRUE,OSSM,1000,0,charlesworth,0.1,fixed,both
,0,0,TRUE,ZBLG,1500,0,charlesworth,0.1,fixed,both
,0,0,TRUE,FEZY,2000,0,charlesworth,0.1,fixed,both
,0,0,TRUE,YNWG,500,0.1,evolving,0.1,fixed,both
,0,0,TRUE,XSLR,1000,0.1,evolving,0.1,fixed,both
,0,0,TRUE,ZXCX,1500,0.1,evolving,0.1,fixed,both
,0,0,TRUE,JHKY,2000,0.1,evolving,0.1,fixed,both
,0,0,TRUE,HQFV,500,0.01,evolving,0.1,fixed,both
,0,0,TRUE,CLQJ,1000,0.01,evolving,0.1,fixed,both
,0,0,TRUE,PZAD,1500,0.01,evolving,0.1,fixed,both
,0,0,TRUE,BIRN,2000,0.01,evolving,0.1,fixed,both
,0,0,TRUE,ZFHG,500,0.001,evolving,0.1,fixed,both
,0,0,TRUE,CPSN,1000,0.001,evolving,0.1,fixed,both
,0,0,TRUE,ZBPT,1500,0.001,evolving,0.1,fixed,both
,0,0,TRUE,ZUKP,2000,0.001,evolving,0.1,fixed,both
,0,0,TRUE,COPK,500,1e-04,evolving,0.1,fixed,both
,0,0,TRUE,ATPF,1000,1e-04,evolving,0.1,fixed,both
,0,0,TRUE,OXIU,1500,1e-04,evolving,0.1,fixed,both
,0,0,TRUE,IRGG,2000,1e-04,evolving,0.1,fixed,both
,0,0,TRUE,OSWL,500,0,evolving,0.1,fixed,both
,0,0,TRUE,UHYT,1000,0,evolving,0.1,fixed,both
,0,0,TRUE,PYJM,1500,0,evolving,0.1,fixed,both
,0,0,TRUE,JTUZ,2000,0,evolving,0.1,fixed,both
,0,0,TRUE,DIVC,500,0.1,fixed,0.01,fixed,both
,0,0,TRUE,CAPH,1000,0.1,fixed,0.01,fixed,both
,0,0,TRUE,GPYE,1500,0.1,fixed,0.01,fixed,both
,0,0,TRUE,IPBN,2000,0.1,fixed,0.01,fixed,both
,0,0,TRUE,GPIO,500,0.01,fixed,0.01,fixed,both
,0,0,TRUE,DMKG,1000,0.01,fixed,0.01,fixed,both
,0,0,TRUE,HUYH,1500,0.01,fixed,0.01,fixed,both
,0,0,TRUE,EBXZ,2000,0.01,fixed,0.01,fixed,both
,0,0,TRUE,AKVT,500,0.001,fixed,0.01,fixed,both
