pan ID	D39	D39V	EF3030	Hungary19A-6	TIGR4	670-6B	6A-10	70585	A026	A66	AP200	ASP0581	ATCC 49619	ATCC 700669	BM6001	BVJ1JL	CGSP14	G54	gamPNI0373	HU-OH	Hu15	Hu17	INV104	INV200	JJA	MDRSPN001	NCTC7465	NCTC7466	NU83127	OXC141	P1031	R6	SP49	SPN032672	SPN034156	SPN034183	SPN994038	SPN994039	SPNA45	ST556	Taiwan19F-14	TCH8431/19A	Xen35
PNEUPAN000001000	SPD_RS06300	SPV_RS06295			SP_RS06590		HKM25_RS06225	SP70585_RS06870			SPAP_RS06780			SPN23F_RS06250									INV104_RS06580					DQM66_RS06300				SPR_RS06010		SPN032672_RS01455									CXP32_RS06655
PNEUPAN000002000															ODS73_RS00030																									MYY_RS00030	SPT_RS00060	HMPREF0837_RS01335	
PNEUPAN000003000															ODS73_RS00035																									MYY_RS00035	SPT_RS00065	HMPREF0837_RS01340	
PNEUPAN000004000															ODS73_RS00040																									MYY_RS00040	SPT_RS00070	HMPREF0837_RS01345	
PNEUPAN000005000															ODS73_RS00050																									MYY_RS00050	SPT_RS00080	HMPREF0837_RS01355	
PNEUPAN000006000							HKM25_RS00045								ODS73_RS00055																									MYY_RS00055	SPT_RS00085	HMPREF0837_RS01360	
PNEUPAN000007000							HKM25_RS00050								ODS73_RS00060																									MYY_RS00060	SPT_RS00090	HMPREF0837_RS01365	
PNEUPAN000008000							HKM25_RS00060								ODS73_RS00070																									MYY_RS00070	SPT_RS00100	HMPREF0837_RS01375	
PNEUPAN000009000						SP670_RS00060	HKM25_RS00070								ODS73_RS00080																								SPNA45_RS10400	MYY_RS00080	SPT_RS00110	HMPREF0837_RS01385	
PNEUPAN000010000															ODS73_RS00085																									MYY_RS00085	SPT_RS00115	HMPREF0837_RS01390	
PNEUPAN000011000						SP670_RS13285	HKM25_RS00075								ODS73_RS00090																									MYY_RS12520	SPT_RS12390	HMPREF0837_RS12235	
PNEUPAN000012000						SP670_RS00070									ODS73_RS00095																									MYY_RS00090	SPT_RS00120	HMPREF0837_RS01395	
PNEUPAN000013000															ODS73_RS00100																									MYY_RS12890	SPT_RS12675	HMPREF0837_RS12560	
PNEUPAN000014000						SP670_RS13720									ODS73_RS00110																									MYY_RS12900	SPT_RS12685	HMPREF0837_RS12570	
PNEUPAN000015000						SP670_RS00075									ODS73_RS00115																									MYY_RS00095	SPT_RS00125	HMPREF0837_RS01400	
PNEUPAN000016000															ODS73_RS00120																								SPNA45_RS10385	MYY_RS00100	SPT_RS00130	HMPREF0837_RS01405	
PNEUPAN000017000						SP670_RS00095									ODS73_RS00140																									MYY_RS00120	SPT_RS00155	HMPREF0837_RS01425	
PNEUPAN000018000															ODS73_RS00150																								SPNA45_RS10360	MYY_RS00130	SPT_RS00165	HMPREF0837_RS01435	
PNEUPAN000019000															ODS73_RS00155																								SPNA45_RS10355	MYY_RS00135	SPT_RS00170	HMPREF0837_RS01440	
PNEUPAN000020000				SPH_RS00240							SPAP_RS00255		EL263_RS00250		ODS73_RS00415						SPNHU15_RS00225	SPNHU17_RS00230																					
PNEUPAN000021000				SPH_RS00245							SPAP_RS00260		EL263_RS00255		ODS73_RS00420						SPNHU15_RS00230	SPNHU17_RS00235																					
PNEUPAN000022000				SPH_RS00250							SPAP_RS00265		EL263_RS00260		ODS73_RS00425						SPNHU15_RS00235	SPNHU17_RS00240																					
